model,provider,sophistication_group,n_evaluations,warmth,formality,hedging,aggression,transgression,grandiosity,tribalism,depth,authenticity,sophistication
claude-4-sonnet,Anthropic,High-Sophistication,50,6.240199999999999,6.5804,4.112800000000001,1.54,1.8851999999999993,1.8729999999999998,1.2266,6.753599999999999,5.527199999999999,6.140399999999999
grok-4-0709,xAI,High-Sophistication,50,6.766799999999998,6.4336,4.5202,1.6995999999999998,1.9527999999999996,2.314,1.4929999999999999,7.1874,6.0804,6.633900000000001
claude-4.5-sonnet,Anthropic,High-Sophistication,50,5.8801999999999985,5.966600000000001,3.7400000000000007,1.8263999999999998,2.2327999999999997,1.9668,1.28,7.1675999999999975,6.3734,6.770499999999998
gpt-5,OpenAI,High-Sophistication,50,5.772800000000002,6.4604,3.693600000000001,1.4996,1.5997999999999999,1.9925999999999997,1.1329999999999998,7.660199999999999,6.406799999999999,7.033499999999998
llama-3.3-70b,Meta,Low-Sophistication,50,5.999599999999999,7.599799999999997,4.5336,1.2664,1.3785999999999994,1.8338000000000003,1.1061999999999999,5.873399999999999,4.393999999999998,5.133699999999999
deepseek-r1,DeepSeek,High-Sophistication,50,5.746600000000001,7.8134000000000015,4.066600000000001,1.4729999999999999,1.686,2.1812000000000005,1.2266,7.112799999999998,5.406400000000001,6.2596
nova-pro,AWS,Low-Sophistication,50,5.8792,7.953599999999999,4.2536,1.2131999999999998,1.3517999999999994,1.7742000000000002,1.0332,6.193599999999999,4.379600000000001,5.2866
claude-3.5-sonnet-v1,Anthropic,Low-Sophistication,50,5.473200000000002,7.580399999999998,4.353400000000001,1.3129999999999997,1.4181999999999995,1.7402000000000002,1.0266,5.446200000000002,4.056799999999999,4.7515
claude-3.5-haiku,Anthropic,Low-Sophistication,50,5.3728,6.987,4.346399999999999,1.3863999999999999,1.4989999999999994,1.6861999999999997,1.0463999999999998,5.1602,4.066999999999998,4.613599999999999
claude-4.5-haiku,Anthropic,High-Sophistication,50,6.0527999999999995,5.840200000000001,4.3336,1.7466,1.9997999999999998,1.793,1.1463999999999999,7.227,6.6674,6.9472000000000005
grok-3,xAI,High-Sophistication,50,6.400600000000001,7.220999999999999,4.380599999999999,1.4926,1.5796,2.1340000000000003,1.2531999999999999,7.2601999999999975,5.606,6.433099999999999
gpt-4,OpenAI,Low-Sophistication,50,5.333399999999999,7.393200000000003,4.659600000000001,1.2464,1.3653999999999997,1.7461999999999995,1.0266,5.0864,3.6799999999999993,4.3831999999999995
llama-4-scout-17b,Meta,Low-Sophistication,50,6.119199999999999,7.433199999999997,4.746600000000001,1.2734,1.3461999999999998,1.8332,1.1398,6.0806000000000004,4.5872,5.3339
llama-3.2-90b,Meta,Low-Sophistication,50,6.013,7.5661999999999985,4.540399999999999,1.2868000000000002,1.3455999999999995,1.8676000000000001,1.0332,5.872800000000001,4.293599999999997,5.083199999999999
claude-4.5-opus-global-thinking_(thinking),Anthropic,High-Sophistication,50,6.166799999999999,6.066800000000001,5.167000000000001,1.6993999999999998,2.0063999999999997,1.8793999999999997,1.1598,7.126600000000002,6.392800000000001,6.759700000000001
nova-premier,AWS,Low-Sophistication,50,5.9395999999999995,7.7867999999999995,4.506800000000001,1.16,1.3647999999999993,1.7138,1.0334,5.780799999999998,4.192600000000001,4.9867
nova-lite,AWS,Low-Sophistication,50,5.832800000000001,7.92,4.380199999999999,1.1263999999999998,1.2521999999999995,1.7738,1.1466,5.906200000000001,4.226400000000002,5.066300000000002
claude-4.5-sonnet-thinking_(thinking),Anthropic,High-Sophistication,50,6.020000000000001,5.8466000000000005,3.9526,1.7462,2.0498,1.9804000000000002,1.2202000000000002,6.9936,6.2467999999999995,6.6202
gpt-3.5_turbo,OpenAI,Low-Sophistication,50,5.5736,7.2526,4.326400000000001,1.2997999999999998,1.3921999999999997,1.7198,1.16,4.546999999999999,3.4734000000000003,4.010199999999999
gpt-5.1,OpenAI,High-Sophistication,50,6.153200000000001,6.286799999999999,3.8334,1.5594,1.7655999999999998,2.0266,1.2731999999999999,7.7806,6.739800000000002,7.260200000000001
gpt-5.2,OpenAI,High-Sophistication,50,5.933600000000001,6.419999999999999,3.6995999999999998,1.5857999999999999,1.7591999999999997,2.0008,1.18,7.793799999999999,6.719399999999999,7.256599999999999
gemini-2.0-flash,Google,High-Sophistication,50,6.0464,6.959600000000002,4.486400000000001,1.5723999999999996,1.5193999999999996,1.9278000000000004,1.1929999999999998,6.959600000000002,5.4198,6.189700000000001
llama-4-maverick-17b,Meta,Low-Sophistication,50,5.7462,7.579799999999999,4.853000000000002,1.2591999999999997,1.3723999999999998,1.7806,1.0266,5.832800000000002,4.3267999999999995,5.0798000000000005
gemini-2.5-pro,Google,High-Sophistication,50,6.953200000000002,6.679800000000001,3.3532000000000006,1.5794,1.7926,2.3206,1.3332,8.086799999999998,7.0204,7.553599999999999
claude-4.1-opus-thinking_(thinking),Anthropic,Low-Sophistication,50,6.166399999999999,6.306200000000001,3.826200000000002,1.4995999999999998,1.8855999999999995,1.8396,1.2131999999999998,6.419999999999999,5.3638,5.8919
claude-4.5-opus-global,Anthropic,High-Sophistication,50,6.026599999999999,5.9804,4.766200000000001,1.7792,1.9597999999999995,1.8932,1.173,7.233400000000001,6.526600000000001,6.880000000000001
gpt-oss-120b,OpenAI,High-Sophistication,50,6.263599999999998,7.643200000000002,3.9595999999999987,1.3658,1.4319999999999995,2.1178000000000003,1.0466,7.853000000000001,6.3904000000000005,7.121700000000001
claude-4-opus-thinking_(thinking),Anthropic,High-Sophistication,50,6.2932000000000015,6.313000000000001,3.9599999999999995,1.5593999999999997,1.8049999999999995,2.0142,1.2534,6.380399999999997,5.492800000000002,5.936599999999999
claude-4-opus,Anthropic,Low-Sophistication,50,6.2134,6.139799999999999,4.033399999999999,1.6391999999999998,1.8651999999999995,1.8527999999999998,1.2334,6.407400000000001,5.4407999999999985,5.924099999999999
llama-3.1-70b,Meta,Low-Sophistication,50,6.426,7.205799999999999,4.599599999999999,1.3063999999999998,1.4521999999999997,1.8806,1.1466,5.959200000000001,4.500000000000001,5.229600000000001
claude-4.1-opus,Anthropic,High-Sophistication,50,6.092600000000001,6.340200000000001,4.112400000000003,1.5592,1.8659999999999997,1.8861999999999997,1.2202000000000002,6.839599999999999,5.8530000000000015,6.3463
qwen3-32b,Alibaba,High-Sophistication,50,6.939999999999998,6.880800000000002,4.046200000000002,1.4257999999999997,1.5393999999999997,2.2078,1.1865999999999999,7.0062000000000015,5.7538,6.380000000000001
claude-4.5-haiku-thinking_(thinking),Anthropic,High-Sophistication,50,5.986199999999999,5.986799999999999,4.519600000000001,1.6925999999999999,2.0134,1.7331999999999999,1.12,7.166999999999999,6.506599999999997,6.836799999999998
claude-3.5-sonnet-v2,Anthropic,Low-Sophistication,50,5.7799999999999985,7.114200000000002,4.333000000000001,1.2995999999999999,1.4259999999999997,1.6725999999999996,1.0732,5.399799999999999,4.333200000000001,4.8665
claude-3-opus,Anthropic,Low-Sophistication,50,5.573999999999997,7.546600000000003,4.2136000000000005,1.2795999999999998,1.3789999999999998,1.7066,1.06,5.373000000000001,3.9930000000000017,4.683000000000002
mixtral-8x7b,Mistral,Low-Sophistication,50,5.7798000000000025,7.8132,4.839400000000001,1.2662,1.3113999999999992,1.7536,1.1134,5.3132,3.7469999999999986,4.530099999999999
o3,OpenAI,High-Sophistication,50,5.753399999999999,7.113199999999998,3.6927999999999996,1.4128,1.6529999999999998,1.9338,1.193,7.814,6.540199999999999,7.177099999999999
mistral-large-24.02,Mistral,Low-Sophistication,50,6.0604,7.653400000000005,4.859400000000001,1.2059999999999997,1.3319999999999994,1.7995999999999999,1.0732,5.2868,3.7936,4.5402000000000005
gpt-4.1,OpenAI,Low-Sophistication,50,6.5262,6.7532,4.233599999999999,1.2461999999999998,1.4857999999999998,1.7991999999999997,1.1534,6.1198000000000015,5.087199999999999,5.6035
gemini-3-pro-preview,Google,High-Sophistication,50,5.759600000000001,6.446400000000001,2.8796,2.179,2.692599999999999,2.5599999999999996,1.7932,7.9201999999999995,7.073400000000001,7.4968
claude-3-sonnet,Anthropic,Low-Sophistication,50,5.792800000000001,7.2126,4.593,1.193,1.3385999999999996,1.6593999999999998,1.0131999999999999,5.493200000000001,4.120000000000001,4.806600000000001
claude-3.7-sonnet,Anthropic,Low-Sophistication,50,5.813400000000001,7.147200000000001,4.500799999999997,1.3461999999999998,1.5387999999999997,1.8259999999999996,1.0932,5.946999999999998,4.766200000000001,5.3566
claude-3-haiku,Anthropic,Low-Sophistication,50,5.9934,7.353,4.7666,1.2061999999999997,1.2713999999999992,1.7727999999999997,1.0534000000000001,5.419599999999999,3.9868000000000006,4.7032
gpt-5.2_pro,OpenAI,High-Sophistication,50,5.939999999999999,6.433400000000002,3.7734000000000005,1.4524,1.646,1.9601999999999997,1.1398,7.9536,6.7264,7.34
claude-4-sonnet-thinking_(thinking),Anthropic,High-Sophistication,50,6.272800000000002,6.580199999999996,4.0200000000000005,1.533,1.7523999999999995,1.8323999999999996,1.2131999999999998,6.6734,5.646600000000001,6.16
